Section,Subsection,Topic (Bangla),Topic (English),Path,Content type,Priority,Notes
Start Here,Orientation,স্টার্টআপ কী?,What is a startup?,/start-here/what-is-a-startup,Guide,High,
Start Here,Orientation,"বাংলাদেশে স্টার্টআপ, এসএমই, এজেন্সি ও ই-কমার্স ব্যবসার পার্থক্য",Startup vs SME vs agency vs e-commerce business in Bangladesh,/start-here/startup-vs-sme,Guide,High,Clarifies business models and growth trajectories. Tip: Use to align founder expectations before registering.
Start Here,Orientation,"স্টার্টআপ করবেন, নাকি সাধারণ ব্যবসা?",Should you build a startup or a normal business?,/start-here/startup-or-business,Guide,High,Helps founders decide between venture-scale growth and lifestyle business. Tip: Assess personal risk appetite.
Start Here,Orientation,বাংলাদেশের স্টার্টআপ ইকোসিস্টেম: কোথা থেকে শুরু করবেন,Bangladesh startup ecosystem overview,/ecosystem/where-to-start,Guide,High,"Maps out incubators, VCs, and government initiatives. Tip: Use for early networking."
Start Here,Orientation,বাংলাদেশি ফাউন্ডারদের সাধারণ ভুল ধারণা,Common myths Bangladeshi founders believe,/start-here/common-myths,Guide,High,Addresses misconceptions about funding and product-market fit. Tip: Read before validating ideas.
Start Here,Orientation,স্টার্টআপ ডিকশনারি: কোন শব্দের মানে কী,Startup Glossary: What do these terms mean?,/start-here/glossary,Guide,High,Translates common startup terms. Tip: Keep handy during investor meetings.
Start Here,Orientation,প্রতিষ্ঠাতা হিসেবে কোন পথে শুরু করবেন,Founder path chooser,/start-here/founder-path-chooser,Guide,High,Helps readers choose the right journey before reading everything.
Start Here,Orientation,বাংলাদেশে স্টার্টআপ শুরু করার ৩০ দিনের রোডম্যাপ,30-day roadmap to starting a startup in Bangladesh,/start-here/30-day-roadmap,Guide,High,Starter path for first-time founders.
Start Here,Orientation,এক পাতার স্টার্টআপ পরিকল্পনা,One-page startup plan,/start-here/one-page-startup-plan,Template,High,Simple planning artifact.
Start Here,Orientation,প্রতিষ্ঠাতা হিসেবে আপনি প্রস্তুত কি না: চেকলিস্ট,Founder readiness checklist,/start-here/founder-readiness-checklist,Checklist,High,"Skills, time, money, family and risk readiness."
Start Here,Orientation,দেশি স্টার্টআপের ম্যানুয়াল কীভাবে ব্যবহার করবেন,How to use the Deshi Startup manual,/start-here/how-to-use,Guide,Medium,"Explains language switching, search, journeys, freshness, and contribution paths."
Phase 1: Starting,Idea & Validation,বাংলাদেশে স্টার্টআপ আইডিয়া খুঁজে পাওয়ার বাস্তব উপায়,How to find startup ideas in Bangladesh,/ideas/finding-ideas,Guide / Template,High,Methods to test if a problem is real. Tip: Talk to 10 potential users before building.
Phase 1: Starting,Idea & Validation,বাংলাদেশি বাজারে আইডিয়া ও সমস্যা যাচাই,Ideation and problem validation in the Bangladeshi market,/ideas/ideation-basics,Guide / Template,High,Highlights high-growth industries. Tip: Cross-reference with your domain expertise.
Phase 1: Starting,Idea & Validation,"বাংলাদেশে সুযোগের খাত: ফিনটেক, এগ্রিটেক, এডটেক, হেলথটেক, লজিস্টিকস, ই-কমার্স","Common opportunity sectors: fintech, agritech, edtech, healthtech, logistics, e-commerce",/ideas/opportunity-sectors,Guide / Template,High,Techniques like landing pages and pre-sales. Tip: Run low-cost Facebook ads to gauge interest.
Phase 1: Starting,Idea & Validation,পণ্য বানানোর আগে চাহিদা যাচাই করার পাঁচটা পরীক্ষা,Five tests for demand before you build the product,/validation/demand-without-building,Guide / Template,High,Guide on asking non-leading questions. Tip: Avoid pitching your idea during discovery.
Phase 1: Starting,Idea & Validation,"যাচাইয়ের আলাপে কী জিজ্ঞেস করবেন, আর কোন উত্তর বিশ্বাস করবেন না","What to ask in a validation interview, and which answers to distrust",/validation/customer-interviews,Guide / Template,High,Ready-to-use questions for user research. Tip: Adapt the tone based on the target demographic.
Phase 1: Starting,Idea & Validation,"গ্রাহক ইন্টারভিউয়ের স্ক্রিপ্ট, বাংলা ও ইংরেজিতে","Customer interview scripts, in Bangla and English",/validation/interview-scripts,Guide / Template,High,Criteria to ensure the problem is painful enough. Tip: Score ideas based on frequency and budget.
Phase 1: Starting,Idea & Validation,সমস্যা যাচাইকরণ চেকলিস্ট,Problem validation checklist,/ideas/problem-validation-checklist,Guide / Template,High,Tool to prioritize multiple ideas. Tip: Weigh market size and execution difficulty.
Phase 1: Starting,Idea & Validation,সমস্যা র‍্যাঙ্কিং স্কোরকার্ড,Problem ranking scorecard,/ideas/problem-ranking-scorecard,Guide / Template,High,Case studies of early product versions. Tip: Learn how to launch with minimal tech.
Phase 1: Starting,Idea & Validation,"প্রথম সংস্করণ কেমন হবে: এমভিপির সাতটা চেনা আকার","What the first version looks like: seven MVP shapes",/validation/mvp-examples,Guide / Template,High,Framework to design validation tests. Tip: Define success metrics before starting.
Phase 1: Starting,Idea & Validation,"পরীক্ষার পরিকল্পনা: এক পাতায় লিখে ফেলার ছক","The experiment plan: one page to fill in first",/validation/mvp-experiment-planner,Guide / Template,High,Strategies to test willingness to pay. Tip: Offer money-back guarantees to build trust.
Phase 1: Starting,Idea & Validation,"দাম যাচাই: কম ভরসার বাজারে কত চাইবেন, আর কীভাবে পরীক্ষা করবেন","Pricing tests: what to charge in a low-trust market",/validation/pricing-tests,Guide / Template,High,Comparison of business models and sales cycles. Tip: B2B often has longer sales cycles but higher retention.
Phase 1: Starting,Idea & Validation,বাংলাদেশে B2C বনাম B2B বনাম B2B2C,B2C vs B2B vs B2B2C in Bangladesh,/ideas/b2c-vs-b2b,Guide / Template,High,Adapting research methods to local norms. Tip: Account for social desirability bias in interviews.
Phase 1: Starting,Idea & Validation,টাকাটা কে ছাড়েন: যাচাইয়ে বাংলাদেশের সমাজবাস্তবতা,Who actually releases the money: social realities in validation,/validation/cultural-context,Guide,High,
Phase 1: Starting,Idea & Validation,"টেকসই বিজনেস মডেল: কীভাবে সাজাবেন, কীভাবে পরীক্ষা করবেন",Designing and testing a sustainable and scalable business model,/validation/business-model-design,Guide / Template,Medium,"Customer, value, delivery, revenue, cost, repeatability, scalability, and the one assumption that would break the model. Sits between /start-here/startup-vs-sme (which business type) and the MVP guides (how to test). Source lead: Accelerating Bangladesh, Sustainable and Scalable Business Models."
Phase 1: Starting,Market Research,"বাজারের ডেটা কোথায় পাবেন, আর সংখ্যা পড়ার আগে কী দেখে নেবেন","Where to find Bangladesh market data, and what to check first",/ideas/market-data-sources,Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশে বাজারের আকার কীভাবে নির্ধারণ করবেন,How to size a market in Bangladesh,/ideas/market-sizing,Guide,High,
Phase 1: Starting,Market Research,"জনসংখ্যাতত্ত্ব, ইন্টারনেট ব্যবহারের হার, মোবাইল-ফার্স্ট আচরণ, শহুরে বনাম গ্রামীণ গতিশীলতা বোঝা","Understanding demographics, internet penetration, mobile-first behavior, urban vs rural dynamics",/ideas/market-demographics,Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশের জন্য বাজার গবেষণা চেকলিস্ট,Market research checklist for Bangladesh,/ideas/market-research-checklist,Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশের বাজারের তথ্য পরিচ্ছন্নভাবে উদ্ধৃত করার উপায়,How to cite Bangladesh market data cleanly,/ideas/citing-market-data,Guide,High,
Phase 1: Starting,Business Structure,একক মালিকানা বনাম অংশীদারী ব্যবসা বনাম প্রাইভেট লিমিটেড কোম্পানি,Sole proprietorship vs partnership vs private limited company,/company-types,Guide / Comparison,High,
Phase 1: Starting,Business Structure,কোম্পানি আইন ১৯৯৪ এর অধীনে এক ব্যক্তি কোম্পানি (ওপিসি),One Person Company (OPC) under Companies Act 1994,/registration/opc,Guide / Comparison,High,
Phase 1: Starting,Business Structure,কখন কোম্পানি নিবন্ধন করবেন,When to register a company,/registration/when-to-register,Guide / Comparison,High,
